unique_id,f_name_english,f_name_arabic,facility_category_name_english,facility_category_name_arabic,facilitysubcategorynameenglish,facilitysubcategorynamearabic,address_line_one,address_line_two_english,address_line_two_arabic,po_box,website,telephone_1,telephone_2,fax,expiry_date,status,area_id,x_coordinate,y_coordinate,email,area_english,area_arabic
35,al zahra Pvt. hospital,مستشفى الزهراء الخاص,Director,مدير طبي,General Hospital (>100),مستشفى (أكثر من 100 سرير),Al Zahra Pvt Hospital Dubai,Al Barsha First,Al Barshaa - 1,,,,,,2/8/2021,FAC_ACT,132,90,90,,Al Barshaa - 1,Al Barshaa - 1
36,dr Imran tahir Aestheticare Centre,عيادة الدكتور عمران طاهر للعناية الجمالية,Plastic Surgery,الجراحة التجميلية,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),9298,Al Wasl Road 929,Al Manara,,,04-3485600,,,3/12/2021,FAC_ACT,124,25.15104237,55.21319608,reception.ditacc@yahoo.com,Al Manara,Al Manara
40,life medical Center Dmcc,مركز لايف الطبي دي ام سي سي,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),-, ,Jumeira Lakes Towers,,,971-50-7707139,,,5/2/2020,FAC_ACT_AEX,140,25.07808093,55.15140692,lifemedicalcenter@gmail.com,Jumeira Lakes Towers,Jumeira Lakes Towers
41,Al Tadawi Medical Center,مركز تداوي الطبي,Internal Medicine,الطب الباطني,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),-,Al Qusais,Al Twar - 1,,,971-50-3565551,,,4/11/2020,FAC_ACT_AEX,70,25.170577,55.150404,fatima@altadawimedical.com,Al Twar - 1,Al Twar - 1
43,Aster Medical Centre Business Bay Br Of Dm Health,استر ميديكال سنتر بزنس بي فرع فرع من د م للرعاية,Obstetrics and Gynecology,أمراض النساء والولادة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Bay Avenue,Al Sa'ada Street,,,www.astermedicalcentre.com,971-55-7009111,,,10/14/2020,FAC_ACT,,90,90,pr@asterdmhealthcare.com,,
44,Good Living Medical Centre,مركز جوود ليفينج الطبي,Homeopathy,طب المثلي,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Hudaiba Awards Building,Mina road ,Madinat Dubai AL Melaheyah,,,055-552-5170,,,3/30/2021,FAC_ACT,101,25.24097424,55.27253585,drbadami@glmc.com,Madinat Dubai AL Melaheyah,Madinat Dubai AL Melaheyah
51,Healthy Weight Diet Services,هيلثي ويت لخدمات الحمية,Clinical Dietetics and Nutrition,تغذية سريرية,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Mazaya Center,Al Badaa' Street 165,Al Wasl,,1,971-055-3200978,,,5/30/2020,FAC_ACT_AEX,112,25.1989948,55.26545398,,Al Wasl,Al Wasl
52,Lotus Medical Center L.L.C,مركز لوتس الطبي ش.ذ.م.م,General Practice,طب عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Rostamani,Al Qouz,,,1,971-050-6249944,,,10/29/2020,FAC_ACT,,90,90,SHAHJAVID@YAHOO.COM,,
55,Noor Alshefa Clinic,عيادة نور الشفاء,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Jebel Ali Mall,20 Street,Jebeel Ali Industrial,,,971-50-2099430,,,8/9/2020,FAC_ACT,152,25.00575663,55.10371615,nascact@gmail.com,Jebeel Ali Industrial,Jebeel Ali Industrial
60,Dr Tazyeen Gynae And Polyclinic L L C,عيادة دكتورة تزيين التخصصية لأمراض النساء ومجمع طبي ش ذ م م,Obstetrics and Gynecology,أمراض النساء والولادة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Detroit House,Turin Boulevard Road,AL Hebiah-1,,www.drtazyeenobgyn.com,971-50-4626864,,,5/23/2021,FAC_ACT,218,25.04565501,55.23173908,drtazyeen@drtazyeenobgyn.com,AL Hebiah-1,AL Hebiah-1
64,Kims Medical Centre,مركز كيمز الطبي,Obstetrics and Gynecology,أمراض النساء والولادة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Dosari Building,Hor Al Anz Street 74,,,www.kimsdubai.com,00-971-504540909,,,3/6/2021,FAC_ACT,,90,90,jewel.james@kimsdubai.com,,
70,Ritz Dental Clinc,عيادة ريتز لطب الاسنان,General Dentistry,طب أسنان عام,Dental General Clinic,عيادة طب ​​الأسنان العام,Al Areesh Community Center,alareesh community ,Dubai Festival City,,www.ritz-dentalclinic.com,971-50-5754120,,,1/5/2021,FAC_ACT,142,25.22029873,55.36567829,ritzdental.dxb@gmail.com,Dubai Festival City,Dubai Festival City
75,Jupiter Specialty Medical Center,مركزجوبيتر الطبي التخصصي,Pediatrics,طب الأطفال,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Jupiter Specialty Medical Center LLC,Sheikh Khalifa Bin Zayed Street 110,Al Mankhoul,,www.jupiterclinics.ae,971-55-7950795,,,12/20/2020,FAC_ACT,23,25.24484723,55.29791756,gm@jupiter-clinics.com,Al Mankhoul,Al Mankhoul
76,The Dental House,مركز ذى دينتال هاوس لطب الاسنان,Orthodontics,تقويم أسنان,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Shaikha Mahra Alghurair Bld,Al Nahda Street 171,Al Qusais - 2,,1,971-50-6712885,,,11/28/2020,FAC_ACT,75,25.26552431,55.38284838,thedentalhousecenter@gmail.com,Al Qusais - 2,Al Qusais - 2
78,Medcare Medical Center Jbr - Br- Medcare Hospital,مركز ميدكير - فرع من مستشفى مدكير ش.ذ.م.م,Family Medicine,طب الأسرة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Jbr 04-P41 ( SADAF ),Al Mamsha Street,Marsa Dubai ,,www.medcarehospital.com,971-55-9007111,,,10/30/2020,FAC_ACT,178,25.08166596,55.13790897,alma@medcarehospital.com,Marsa Dubai ,Marsa Dubai 
81,The Childrens Medical Centre,مركز الاطفال الطبي,Pediatrics,طب الأطفال,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Villa 1064,Al Wasl Road 1066,Al Wasl,,,971-0553798575,,,1/6/2021,FAC_ACT,112,25.15339262,55.21476489,annelien@tcmcdubai.com,Al Wasl,Al Wasl
84,Gems Winchester Shcool(Br Of Premier Shools International L.L.C),مدرسة جيمس وينشستر (فرع من بريمير سكولز انترناشيونال ش.ذ.م.م),Nursing,التمريض,School clinic,عيادة مدرسة,Gems Winchester School,19d Street 19,Oudh Metha,,gemswinchesterschool-dubai.com,971-50-2369860,,,10/4/2020,FAC_ACT,43,25.23493823,55.31568526,info_wsd@gemsedu.com,Oudh Metha,Oudh Metha
103,Gorgeous Smile Dental Center LLC,مركز جورجيوس سمايل لطب السنان ش.ذ.م.م,Orthodontics,تقويم أسنان,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Arenco Towers,Almarsad St,Al Sufouh - 1,,,971-50-4848711,,,10/8/2020,FAC_ACT,131,25.09147956,55.15858398,audayortho1973@gmail.com,Al Sufouh - 1,Al Sufouh - 1
107,Fakih Ivf LLC,مركز دكتور فقيه للخصوبة ش.ذ.م.م,Reproductive Medicine and Infertility,طب الأمراض التناسلية والعقم,Fertility Center,مركز للإخصاب,Fakih Ivf,"Al Wasl Road, Street 65B - 32B  Villa 37",Al Bada,,,971-050-2111623,,,2/4/2021,FAC_ACT,107,25.170577,55.150404,,Al Bada,Al Bada
120,Amwaj Polyclinic LLC,مجمع امواج الطبي ش.ذ.م.م,Plastic Surgery,الجراحة التجميلية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Amwaj 2,King Salman bin Abdulaziz Al Saud Street,Dubai Marina and Jumeira Beach,,,050-227-2877,,,2/7/2021,FAC_ACT,139,25.07417773,55.13170509,operations@amwajpolyclinic.com,Dubai Marina and Jumeira Beach,Dubai Marina and Jumeira Beach
126,The Indian International School(Dso Branch),المدرسة الهندية الدولية (فرع واحة دبي للسيليكون),General Practice,طب عام,School clinic,عيادة مدرسة,School Bldg,DSO ,AL Ruwayyah-1,,,971-050-2057076,,,6/26/2020,FAC_ACT_AEX,245,25.11474612,55.37489407,proihs@yahoo.com,AL Ruwayyah-1,AL Ruwayyah-1
128,Allo Doctors French Medical Services,الو دكتورز- فرينش ميديكال سيرفيسز,Family Medicine,طب الأسرة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Fortune Executive Tower,Cluster T,Jumeira Lakes Towers,,,00-971-553804196,,,2/5/2021,FAC_ACT,140,25.170577,55.150404,,Jumeira Lakes Towers,Jumeira Lakes Towers
134,Kassla Optics(Branch),كسلا للنظارات (فرع),Optometry,بصريات,Optical Center,مركز بصري,Dubai Driving Centre,Jumeira Street,Madinat Dubai AL Melaheyah,,,971-50-8677767,,,1/24/2021,FAC_ACT,101,25.24801446,55.27575337,kasala_2010@hotmail.com,Madinat Dubai AL Melaheyah,Madinat Dubai AL Melaheyah
146,Medcare Eye Centre Br Of Medcare Hospital LLC,مركز ميدكير للعيون فرع من مستشفى ميدكير ش ذ م م,Ophthalmology,أمراض العيون,Day Surgery Center,مركز جراحة اليوم,Matlob,22a Street 17–25,Al Safa - 1,,,971-055-4007055,,,6/9/2020,FAC_ACT_AEX,116,25.17870564,55.24685318,sinanm@medcarehospital.com,Al Safa - 1,Al Safa - 1
155,Villanova Cosmetic And Surgical Center,مركز فيلانوفا للجراحة والتجميل,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Jumeirah Terrace Bldg,1st Street 3,Jumeira - 1,,,971-50-1789377,,,3/5/2021,FAC_ACT,106,25.23920264,55.27056163,mbhduc@gmail.com,Jumeira - 1,Jumeira - 1
158,Icare Oasis Branch Of Excel Healthcare,أي كير الواحة فرع من إكسل هيلث كير ذ.م.م,Internal Medicine,الطب الباطني,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Oasis Centre,Sheikh Zayed Road 469,Al Qoze - 1,,,971-50-1003766,,,1/10/2021,FAC_ACT,117,25.16960035,55.24170931,,Al Qoze - 1,Al Qoze - 1
160,Get On Track,جيت اون تراك,Physiotherapy,علاج طبيعي,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Villa,Al Wasl Road 160’,Um Suqaim - 3,,www.gotdubai.com,971 4 3805569,,,3/7/2021,FAC_ACT,127,25.170577,55.150404,info@gotdubai.com,Um Suqaim - 3,Um Suqaim - 3
